"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 05 18:09:00 GMT 2025","Sun Jan 05 18:09:04 GMT 2025","3234","tests","test_login_page","","","","Авторизация на странице Login Page","
    Цель: Проверить авторизацию с некорректными данными

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Ввести данные в поле ""Username""
        3. Ввести данные в поле ""Password""
        4. Ввести данные в поле ""Username *""
        5. Кликнуть кнопку ""Login""
        6. Проверить, что отображается сообщение о ошибке авторизации

    Ожидаемый результат:
        - Отображается сообщение об ошибке"
"passed","Sun Jan 05 18:08:49 GMT 2025","Sun Jan 05 18:08:52 GMT 2025","2781","tests","test_alerts","","","","Ввод текста в всплывающем окно","
    Цель: Проверить ввод текста в всплывающем окно

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу
        2. Нажать ""Input Alert""
        3. Нажать кнопку для вызова ""Input box""
        4. Ввести текст
        5. Проверить, что текст применился

    Ожидаемый результат:
        - После ввода в всплывающем окне, текст отображается на странице"
"passed","Sun Jan 05 18:08:58 GMT 2025","Sun Jan 05 18:09:00 GMT 2025","1824","tests","test_login_page","","","","Авторизация на странице Login Page","
    Цель: Проверить отправку пустой формы

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Кликнуть поле ввода ""Username""
        3. Кликнуть поле ввода ""Password""
        4. Кликнуть поле ввода ""Username *""
        5. Кликнуть в пустую часть страницы
        6. Проверить сообщение с ошибкой незаполненного поля ""Username""
        7. Проверить сообщение с ошибкой незаполненного поля ""Password""
        8. Проверить цвет описания поля ""Username *""
        9. Проверить, что кнопка ""Login"" не активна

    Ожидаемый результат:
        - Ошибки валидации отображаются для незаполненных полей
        - Кнопка ""Login"" не активна"
"passed","Sun Jan 05 18:08:56 GMT 2025","Sun Jan 05 18:09:00 GMT 2025","3399","tests","test_login_page","","","","Авторизация на странице Login Page","
    Цель: Проверить авторизацию

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Ввести данные в поле ""Username""
        3. Ввести данные в поле ""Password""
        4. Ввести данные в поле ""Username *""
        5. Кликнуть кнопку ""Login""
        6. Проверить, что отображается сообщение об успешной авторизации

    Ожидаемый результат:
        - Авторизация прошла успешно
        - Отображается сообщение об успешной авторизации"
"skipped","Sun Jan 05 18:08:48 GMT 2025","Sun Jan 05 18:08:48 GMT 2025","0","tests","test_auth_cookies","","","","Авторизация на странице SQL exercises","
    Цель: Проверить авторизацию используя загрузку cookies

    Предусловие:
        - Открыть браузер

    Шаги:        
        1. Открыть страницу с формой
        2. Проверить, что доступны поля авторизации
        3. Удалить cookies
        4. Загрузить cookies из файла
        5. Открыть страницу успешной авторизации
        6. Проверить, что авторизация прошла под именем ""guest""
        6. Кликнуть кнопку ""logout""
        7. Проверить, что доступны поля авторизации
        
    Постусловие:
        - Удалить файл с cookies

    Ожидаемый результат:
        - Авторизация прошла успешно"
"passed","Sun Jan 05 18:08:58 GMT 2025","Sun Jan 05 18:09:01 GMT 2025","2841","tests","test_login_page","","","","Авторизация на странице Login Page","
    Цель: Проверить авторизацию с некорректными данными

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Ввести данные в поле ""Username""
        3. Ввести данные в поле ""Password""
        4. Ввести данные в поле ""Username *""
        5. Кликнуть кнопку ""Login""
        6. Проверить, что отображается сообщение о ошибке авторизации

    Ожидаемый результат:
        - Отображается сообщение об ошибке"
"passed","Sun Jan 05 18:09:01 GMT 2025","Sun Jan 05 18:09:04 GMT 2025","2564","tests","test_login_page","","","","Авторизация на странице Login Page","
    Цель: Проверить авторизацию с некорректными данными

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Ввести данные в поле ""Username""
        3. Ввести данные в поле ""Password""
        4. Ввести данные в поле ""Username *""
        5. Кликнуть в пустую часть страницы
        6. Проверить, что отображаются сообщения о некорректном вводе

    Ожидаемый результат:
        - Отображаются соответствующие сообщения об ошибке
        - Кнопка ""Login"" не активна"
"passed","Sun Jan 05 18:08:49 GMT 2025","Sun Jan 05 18:08:50 GMT 2025","937","tests","test_auth_cookies","","","","Авторизация на странице the-internet.herokuapp.com","
    Цель: Авторизация и сохранение cookies в файл

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Проверить, что доступны поля авторизации
        3. Ввести данные в поле ""Username""
        4. Ввести данные в поле ""Password""
        5. Кликнуть кнопку ""Login""
        6. Проверить, что авторизация прошла успешно
        7. Сохранить cookies в файл
        8. Кликнуть кнопку ""Logout""
        9. Проверить, что доступны поля авторизации
        10. Проверить, что файл с cookies создан

    Ожидаемый результат:
        - Авторизация прошла успешно
        - Файл с cookies создан"
"passed","Sun Jan 05 18:09:03 GMT 2025","Sun Jan 05 18:09:06 GMT 2025","2352","tests","test_login_page","","","","Авторизация на странице Login Page","
    Цель: Проверить авторизацию с некорректными данными

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Ввести данные в поле ""Username""
        3. Ввести данные в поле ""Password""
        4. Ввести данные в поле ""Username *""
        5. Кликнуть в пустую часть страницы
        6. Проверить, что отображаются сообщения о некорректном вводе

    Ожидаемый результат:
        - Отображаются соответствующие сообщения об ошибке
        - Кнопка ""Login"" не активна"
"passed","Sun Jan 05 18:09:04 GMT 2025","Sun Jan 05 18:09:07 GMT 2025","2842","tests","test_login_page","","","","Авторизация на странице Login Page","
    Цель: Проверить авторизацию с некорректными данными

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Ввести данные в поле ""Username""
        3. Ввести данные в поле ""Password""
        4. Ввести данные в поле ""Username *""
        5. Кликнуть в пустую часть страницы
        6. Проверить, что отображаются сообщения о некорректном вводе

    Ожидаемый результат:
        - Отображаются соответствующие сообщения об ошибке
        - Кнопка ""Login"" не активна"
"passed","Sun Jan 05 18:09:12 GMT 2025","Sun Jan 05 18:09:14 GMT 2025","2267","tests","test_tabs","","","","Переход по ссылке на новую вкладку","
    Цель: Проверить переход по открытые вкладки

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу
        2. Переключиться на iframe
        3. Нажать на ссылку
        4. Проверить, что новая вкладка открылась
        5. Перейти на новую вкладку
        6. Нажать на ссылку
        7. Проверить, что новая вкладка открылась

    Ожидаемый результат:
        - После двух нажатий на ссылку открыто три вкладки"
"skipped","Sun Jan 05 18:09:03 GMT 2025","Sun Jan 05 18:09:06 GMT 2025","3169","tests","test_failure_screenshot","","","","Переход по меню на другие страницы","
    Цель: Проверка перехода по меню на другие страницы

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть домашнюю страницу
        2. Навести курсор на вкладку меню ""All Courses""
        3. Проверить переход на страницу
        4. Проверить значение ""TITLE""
        5. Проверить корректность отображения элементов страницы

    Ожидаемый результат:
        - Происходит переход на страницу
        - Значение ""TITLE"" соответствует странице
        - Элементы, уникальные для этой страницы, активны"
"passed","Sun Jan 05 18:08:53 GMT 2025","Sun Jan 05 18:08:57 GMT 2025","3947","tests","test_home_page","","","","Загрузка блока с курсами","
    Цель: Проверка блока с курсами

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть домашнюю страницу
        2. Прокрутить страницу до слайдов
        3. Нажать кнопку навигации ""Назад""
        4. Проверить, что положение слайда изменилось
        5. Нажать кнопку навигации ""Вперед""
        6. Проверить, что положение слайда изменилось

    Ожидаемый результат:
        - Положение слайда изменилось после нажатия кнопок навигации"
"passed","Sun Jan 05 18:08:57 GMT 2025","Sun Jan 05 18:09:00 GMT 2025","3063","tests","test_login_page","","","","Авторизация на странице Login Page","
    Цель: Проверить авторизацию с некорректными данными

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Ввести данные в поле ""Username""
        3. Ввести данные в поле ""Password""
        4. Ввести данные в поле ""Username *""
        5. Кликнуть кнопку ""Login""
        6. Проверить, что отображается сообщение о ошибке авторизации

    Ожидаемый результат:
        - Отображается сообщение об ошибке"
"passed","Sun Jan 05 18:09:00 GMT 2025","Sun Jan 05 18:09:03 GMT 2025","2124","tests","test_login_page","","","","Авторизация на странице Login Page","
    Цель: Проверить авторизацию с некорректными данными

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Ввести данные в поле ""Username""
        3. Ввести данные в поле ""Password""
        4. Ввести данные в поле ""Username *""
        5. Кликнуть в пустую часть страницы
        6. Проверить, что отображаются сообщения о некорректном вводе

    Ожидаемый результат:
        - Отображаются соответствующие сообщения об ошибке
        - Кнопка ""Login"" не активна"
"passed","Sun Jan 05 18:08:55 GMT 2025","Sun Jan 05 18:08:56 GMT 2025","1420","tests","test_js_executor","","","","Загрузка страницы с Registration Form","
    Цель: Проверить работу JavaScriptExecutor

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Проверить наличие скролла на странице

    Ожидаемый результат:
        - Определение наличия скролла на странице"
"passed","Sun Jan 05 18:09:01 GMT 2025","Sun Jan 05 18:09:03 GMT 2025","2282","tests","test_login_page","","","","Авторизация на странице Login Page","
    Цель: Проверить авторизацию с некорректными данными

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Ввести данные в поле ""Username""
        3. Ввести данные в поле ""Password""
        4. Ввести данные в поле ""Username *""
        5. Кликнуть в пустую часть страницы
        6. Проверить, что отображаются сообщения о некорректном вводе

    Ожидаемый результат:
        - Отображаются соответствующие сообщения об ошибке
        - Кнопка ""Login"" не активна"
"passed","Sun Jan 05 18:08:49 GMT 2025","Sun Jan 05 18:08:50 GMT 2025","541","tests","test_basic_auth","","","","Базовая авторизация","
    Цель: Проверить базовую авторизацию

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу
        2. Нажать ""Display Image""
        3. Авторизироваться с корректными ""username"" и ""password""
        4. Проверить, что авторизация прошла успешно

    Ожидаемый результат:
        - Базовая авторизация прошла успешно"
"passed","Sun Jan 05 18:09:08 GMT 2025","Sun Jan 05 18:09:12 GMT 2025","4483","tests","test_login_page","","","","Авторизация на странице Login Page","
    Цель: Проверить разлогирование

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Ввести данные в поле ""Username""
        3. Ввести данные в поле ""Password""
        4. Ввести данные в поле ""Username *""
        5. Кликнуть кнопку ""Login""
        6. Кликнуть кнопку ""Logout""
        7. Проверить наличие поля ввода ""Username""
        8. Проверить наличие поля ввода ""Password""
        9. Проверить наличие поля ввода ""Username *""

    Ожидаемый результат:
        - Отображаются поля для входа"
"passed","Sun Jan 05 18:08:53 GMT 2025","Sun Jan 05 18:08:54 GMT 2025","1489","tests","test_js_executor","","","","Загрузка страницы с Registration Form","
    Цель: Проверить работу JavaScriptExecutor

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Кликнуть поле ввода ""First Name""
        3. Проверить, что фокус на поле ввода
        4. Убрать фокус из поля ввода с помощью JavaScriptExecutor
        5. Проверить, что поле ввода не в фокусе

    Ожидаемый результат:
        - После выполнения JavaScript поле ввода не в фокусе"
"passed","Sun Jan 05 18:09:07 GMT 2025","Sun Jan 05 18:09:13 GMT 2025","5947","tests","test_menu_redirect","","","","Переход по меню на другие страницы","
    Цель: Проверка перехода по меню на другие страницы

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть домашнюю страницу
        2. Навести курсор на вкладку меню ""Video Tutorial""
        3. Кликнуть пункт ""Spring Boot""
        4. Проверить переход на страницу
        5. Проверить значение ""TITLE""
        6. Проверить корректность отображения элементов страницы

    Ожидаемый результат:
        - Происходит переход на страницу
        - Значение ""TITLE"" соответствует странице
        - Элементы, уникальные для этой страницы, активны"
"skipped","Sun Jan 05 18:08:48 GMT 2025","Sun Jan 05 18:08:48 GMT 2025","0","tests","test_auth_cookies","","","","Авторизация на странице the-internet.herokuapp.com","
    Цель: Проверить авторизацию используя загрузку cookies

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу успешной авторизации
        2. Проверить, что вход не выполнен
        3. Удалить cookies
        4. Загрузить cookies из файла
        5. Открыть страницу успешной авторизации
        6. Проверить, что авторизация прошла успешно
        6. Кликнуть кнопку ""Logout""
        7. Проверить, что доступны поля авторизации

    Постусловие:
        - Удалить файл с cookies

    Ожидаемый результат:
        - Авторизация прошла успешно"
"passed","Sun Jan 05 18:08:55 GMT 2025","Sun Jan 05 18:08:57 GMT 2025","1755","tests","test_login_page","","","","Авторизация на странице Login Page","
    Цель: Проверить поля ввода

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Проверить наличие поля ввода ""Username""
        3. Проверить наличие поля ввода ""Password""
        4. Проверить наличие поля ввода ""Username *""
        5. Проверить описание поля ""Username""
        6. Проверить описание поля ""Password""
        7. Проверить описание поля ""Username *""

    Ожидаемый результат:
        - Поля отображаются
        - Описания соответствуют полям"
"passed","Sun Jan 05 18:08:49 GMT 2025","Sun Jan 05 18:08:52 GMT 2025","3036","tests","test_drag_and_drop","","","","Перемещение элемента на странице","
    Цель: Проверить работу перемещения элемента

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу
        2. Проверить текст принимающего элемента до перемещения
        3. Переместить элемент в принимающий
        4. Проверить текст принимающего элемента после перемещения

    Ожидаемый результат:
        - После успешного перемещения текст в принимающем элементе изменился"
"passed","Sun Jan 05 18:09:08 GMT 2025","Sun Jan 05 18:09:22 GMT 2025","14142","tests","test_registration_form","","","","Авторизация на странице Registration Page","
    Цель: Проверить заполнение формы

    Предусловие:
        - Открыть браузер

    Шаги:
        1. Открыть страницу с формой
        2. Заполнить поле ""First Name""
        3. Заполнить поле ""Last Name""
        4. Выбрать ""Marital Status""
        5. Выбрать ""Hobby""
        6. Выбрать ""Country"" из выпадающего списка
        7. Выбрать ""Month"" поля ""Date of Birth"" из выпадающего списка
        8. Выбрать ""Day"" поля ""Date of Birth"" из выпадающего списка
        9. Выбрать ""Year"" поля ""Date of Birth"" из выпадающего списка
        10. Заполнить поле ""Phone Number""
        11. Заполнить поле ""Username""
        12. Заполнить поле ""E-mail""
        13. Загрузить изображение в поле ""Your Profile Picture""
        14. Заполнить поле ""About Yourself""
        15. Заполнить поле ""Password""
        16. Заполнить поле ""Confirm Password""
        18. Нажать на кнопку ""SUBMIT""
        19. Проверить отсутствие сообщений об ошибках

    Ожидаемый результат:
        - Нет сообщений о некорректном вводе данных"
